Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
the,6.130434783,2.559373997,6.634615385,2.339049774
and,5.284,1.815369568,5.749444444,2.351572733
a,6.142578125,3.033535838,6.39625,3.180659843
to,6.8336,3.419754962,6.721666667,3.274501366
I,4.798816568,1.0654325,5.192708333,1.567320463
you,4.543252595,0.820577538,5.1096,1.108814983
he,5.10375,1.660141778,5.047831633,1.667233843
of,8.08,4.485346512,8.403846154,4.197664186
in,6.547619048,3.263068962,6.224965706,2.985304408
it,4.992,1.230487708,5.334705075,1.28622385
that,6.75862069,3.129983711,6.566530612,3.02661254
his,5.121315193,1.731918326,5.892751479,1.997455283
for,7.9375,4.160665969,8.277777778,4.364043056
she,5.168975069,1.719372443,5.164609053,1.875612055
on,7.538461538,4.377037987,6.979492188,3.718327346
my,5.307692308,1.820467677,6.075,3.245543503
with,5.727272727,1.768168673,6.061288089,1.892127857
but,6.714285714,2.576347441,6.679063361,2.249022383
they,6.010555556,2.403997642,6.356401384,2.612978921
all,5.9140625,2.441748262,6.360041623,2.634190425
her,7.390625,4.209693834,7.439393939,3.995617865
so,6.11042524,2.643224965,6.317474048,2.422636786
be,6.076923077,2.575625391,5.808080808,1.750060124
we,6.161989796,2.670498985,6.209104938,2.38503044
at,6.782118056,3.24830397,6.822222222,2.473880154
up,5.4453125,2.665742841,4.932784636,0.942181359
me,4.918367347,1.338318594,5.431213018,1.648292761
as,7.496173469,3.645920738,8.35,4.394647999
this,6.079084287,3.435161666,6.808539945,3.588494542
one,5.0625,1.682012683,4.8264,0.854453432
when,5.632325142,1.66709655,6.009512485,1.813377627
what,5.728,3.327226072,6.392777778,3.498696209
like,6.09375,2.576060696,6.180555556,2.624480296
your,5.399408284,2.077352574,5.696289063,2.048630425
have,4.953333333,1.123643499,5.865013774,1.44320351
out,5.024872449,1.30910292,5.602050781,1.672715554
not,4.902892562,1.174577842,5.368622449,1.605593126
little,6.2008,2.641908906,6.476586889,2.828769984
do,5.4375,1.867088572,5.265432099,1.113494595
then,7.213039486,3.110132077,7.700408163,3.27471943
can,6.11612426,2.495347628,6.172851563,3.161390779
there,6.568877551,2.757487035,6.728650138,3.041752432
no,4.5625,1.424488212,5.5776,2.797268429
day,4.902646503,1.298601796,5.21484375,1.659902584
just,6.911550468,2.752720317,6.633308985,2.858313381
now,6.029444444,2.667628,6.349480969,2.236873969
from,5.3203125,1.545329038,5.775918367,1.94609151
him,5.2416,1.300357899,5.760145682,1.538080291
see,4.921875,1.564498722,6.02,3.039599754
will,8.616666667,4.737384942,8.609375,4.707122906
them,5.879310345,2.077323022,6.828571429,2.673241195
time,5.640625,2.060513462,6.314285714,2.281916488
if,5.776859504,2.132775142,6.313148789,3.020558706
oh,5.2624,2.29666657,5.54912764,1.787971197
too,6.337278107,1.92493165,6.217171717,2.212058512
their,6.875,2.177598559,7.128460208,2.146696514
get,5.786111111,2.891035435,5.669433594,1.842678019
down,5.945362718,2.211053796,6.391020408,2.145922417
big,5.227272727,1.351606388,5.578478002,1.845820518
go,5.102493075,2.044648119,5.109640832,1.320835813
or,5.127222222,1.664691262,5.570934256,1.632942879
by,7.270833333,2.540879541,6.993333333,2.670649325
back,6.023673469,2.381536479,6.767089844,2.254145205
how,6.111111111,2.354755145,6.445362718,2.803124843
into,6.329152249,2.549771968,6.472244898,2.021953173
would,7.41207076,2.987950825,8.59375,3.740444816
about,5.907222222,1.616602578,6.375918367,2.034524262
some,5.992653061,2.106063308,6.23082542,2.073783514
who,5.7544,1.900294012,6.445889698,2.481826237
very,6.760145682,2.394234251,7.463269054,2.662167537
know,6.0390625,2.601069395,6.867768595,3.067936935
good,4.712665406,0.92596161,5.05723205,1.171866703
look,5.844827586,2.104855985,5.991735537,2.10133439
right,5.419354839,1.581648793,5.871428571,1.791905235
love,5.671712803,1.917715682,6.013157895,1.883379804
more,5.596354167,1.537570603,6.17169615,1.48537528
make,5.759871442,1.85415843,6.624897959,2.226788618
our,4.826183432,1.207722694,5.616666667,1.579411356
new,5.3632,1.840386554,5.784023669,1.843133007
way,6.009083045,2.532172184,6.768554688,2.419974988
here,4.882030178,1.658003348,5.186938776,1.89400828
over,8.15,3.256690726,9.015625,3.896823303
night,5.461538462,2.019520126,6.124869927,2.132324628
even,6.162629758,2.05433985,7.360816327,2.896948228
come,6.53375,4.148131119,6.580645161,3.915985985
home,5.620689655,1.888192505,6.28125,2.296341761
around,6.790322581,2.552039033,7.418918919,2.895191208
away,5.848484848,2.078479193,6.359375,1.728482343
help,5.272222222,1.920589855,5.633608815,1.628318531
off,5.3744,1.527323585,5.623309053,1.468028735
want,5.103373702,1.395279781,5.758367347,1.541103
think,6.850585938,3.214550917,7.554930796,3.372269144
where,5.067033976,1.350887534,5.875488281,1.586273201
old,5.3184,1.153385163,5.576111111,1.344291773
us,6.220414201,2.961559594,6.3515625,3.113840963
two,4.288194444,0.930877711,4.971383975,1.277854477
people,5.433035714,1.489345705,6.02032872,1.944475451
through,7.485714286,2.359230041,7.855263158,2.753150271
first,5.404,1.521096096,6.101074219,1.422492357
next,5.714360042,1.905507988,6.398788927,2.14237385
tree,5.276041667,2.24750138,5.468333333,1.687384734
never,6.266601563,2.587237797,7.150137741,2.43485592
well,5.99408284,2.57968147,6.067637877,2.213290427
thought,8.214285714,3.063748459,8.930555556,3.304007908
other,6.362244898,2.415145629,7.109375,2.487823168
dad,5.3828125,1.930818452,5.13371488,2.008722713
after,5.649414063,1.351399699,6.614784206,1.662059016
mom,7.192307692,3.269419301,6.704545455,4.084404401
play,4.678888889,1.077583622,5.348632813,1.473324409
bear,5.139120095,1.62540538,5.663452709,1.794870116
house,5.404513889,2.070229776,5.452148438,2.033160305
say,5.584710744,1.533522531,5.095041322,1.651616243
take,5.2584,1.696102591,5.663911846,1.642033241
something,6.333877551,1.85915239,7.287346939,2.321070487
before,6.751730104,2.450465449,7.025641026,1.955476065
because,6.89698231,2.373569187,7.449035813,2.645843008
again,7.116863905,2.812008921,7.198347107,3.257199951
going,6.766666667,3.14240555,6.653877551,2.548471485
find,6.222222222,2.10463469,6.217773438,1.949449919
why,5.677419355,2.340044113,5.978420569,1.828976911
everyone,6.363852556,1.865716329,7.132352941,2.004951535
always,7.235294118,3.867571656,7.493441358,3.32229735
long,5.833888889,1.908894704,6.124081633,2.223396198
christmas,5.957336108,1.921154611,6.64,2.133238356
much,5.535918367,1.800694715,5.952154858,1.896400662
school,5.534979424,1.920681918,5.921280277,2.31515697
happy,6.973684211,3.61122357,6.644132653,3.057809138
saw,6.227110583,2.634576689,6.195216049,2.28063348
really,6.365960555,2.162411722,7.450328707,2.13395179
fun,5.405827263,1.670644387,5.984848485,1.778714636
still,5.413793103,1.722067723,6.073529412,1.9699729
red,5.74952741,3.075668763,5.818073722,3.124445207
every,5.373048907,1.884736793,6.386593205,2.940248336
three,4.937869822,2.003578955,5.272294887,2.118357379
eat,5.166666667,1.662740474,5.638392857,2.247256374
head,5.519628099,2.8592206,5.304846939,2.002035815
best,5.69651056,2.358235151,5.819591837,1.803558194
only,6.078703704,2.220927202,7.052631579,2.303902311
eyes,5.892361111,1.741543269,5.348090278,2.418871427
put,5.2144,1.23288983,6.051038062,1.864474882
need,5.609053498,2.067388067,5.441230487,1.595388524
feel,6.608418367,3.056310185,7.268066406,3.398456582
found,5.987889273,1.681784237,5.992695398,1.471065915
great,5.362139918,1.771179688,5.728650138,1.452034625
friend,5.748971193,2.465496487,6.216666667,2.195934069
bed,6.714876033,3.528881841,6.737244898,3.340754413
snow,5.444444444,1.717183144,5.733131488,1.591492222
man,4.8203125,1.437241529,5.416666667,1.377675036
each,6.043704475,2.084534972,6.858398438,2.410177387
while,6.795415225,2.384157807,7.089481373,2.459676737
soon,8.339285714,4.670739436,7.909090909,4.35792121
tell,5.326397146,2.018593138,5.697428834,1.964362988
than,6.893888889,3.266931972,7.337006428,3.288245402
together,7.291522491,3.113693703,8.184897959,3.408577808
give,5.873365042,2.067108546,6.298442907,2.649415987
morning,5.426666667,1.688487046,6.539485767,2.046646466
many,6.013079667,2.446855964,6.297145329,2.425317825
mother,7.318181818,4.946072822,6.544982699,3.335887968
green,5.096774194,1.583347482,5.457142857,1.720855757
ever,5.964937911,2.19975636,7.035427319,2.527900781
inside,6.4,2.468421246,6.879394531,2.479296945
last,5.34,1.801157036,5.41184573,1.809280034
door,5.290249433,1.617639777,5.438957476,1.681610865
sure,5.430211203,1.896774164,6.462350781,2.244921832
please,4.557655955,0.954174462,5.218333333,1.208767064
let,5.16,1.748332539,5.827586207,1.753954013
boy,4.9,1.610818687,5.087395957,1.553385338
water,4.958448753,2.220135682,4.882414152,1.449013165
world,6.071799308,2.253074411,6.337257618,2.297626996
cat,5.117647059,1.474040066,5.322580645,1.661065858
baby,5.375236295,1.890875166,5.364724246,1.255094906
heart,6.083007813,1.989472029,6.863811728,2.59307733
miss,6.38292011,2.939846089,7.390625,3.08935314
maybe,6.092773438,2.553898383,5.791089965,1.852236445
today,5.693181818,2.023569186,5.747658689,1.983746602
thing,6.564897959,2.563466532,7.228571429,2.983638859
family,5.995659722,2.264146177,5.825195313,2.390726916
small,5.079395085,1.681603001,5.686556927,1.897353568
children,5.152794293,1.420623027,5.997070313,1.605538497
work,6.690743945,2.812302409,7.220155709,2.910730306
room,8.047619048,4.180026202,7.310586735,3.670624215
must,6.757431629,2.572240329,7.338383838,3.196266498
dog,4.2890625,0.7327442,4.952662722,0.985174582
book,4.75,0.927960727,5.204584775,1.212744959
place,6.786938776,3.0445854,7.069636678,3.150133664
until,7.712278876,3.437248012,7.994949495,3.233796372
yes,5.12037037,2.274327851,4.826923077,1.377986268
better,6.515151515,2.399494896,7.036326531,2.717197339
hard,7.059082031,3.684277344,7.566938776,3.423365746
these,6.983333333,3.553733669,7.806451613,3.313300015
left,6.137573964,2.390320052,6.687011719,2.988502003
white,7.125,3.375905676,6.812283737,3.54009831
blue,4.982758621,1.572547743,5.435483871,1.764189783
okay,4.193359375,1.098425646,4.611979167,1.135814441
stop,4.982758621,1.606253175,5.409090909,1.688446704
those,5.583333333,1.843363368,5.927915519,1.252585883
ready,5.487346939,1.849508456,6.099722992,1.991220416
being,7.992669753,2.95104734,8.855263158,3.338772826
bad,5.260330579,1.345856806,5.548333333,1.713359441
name,5.675,1.97534141,6.0576,2.175724554
another,7.46969697,3.756118746,7.783783784,3.893621102
year,5.597294485,1.623841853,6.162534435,1.850320719
fly,4.7056,1.678327739,5.306666667,1.775490866
wait,5.642857143,2.189440749,5.533203125,1.636569729
any,6.091050989,2.042033786,6.448302469,2.177305512
mama,5.466049383,2.377968572,4.897777778,1.301485545
sleep,8.1,5.000714235,6.276147959,3.529771883
once,6.129444444,2.618859113,6.679063361,2.700458605
sky,5.15879017,2.452692412,4.917360285,1.471888349
try,5.393004115,2.006750593,6.388888889,2.246079205
sun,5.76984127,2.479065791,5.855029586,2.807182413
keep,5.603298611,1.793387688,6.026753864,2.033692477
favorite,6.4,2.30982556,6.949598247,2.130625032
sometimes,7.196051423,3.13723715,8.115384615,3.630031061
thank,4.724,1.146109361,5.430175781,1.885124649
kind,6.486882716,2.072072595,6.860457064,1.946725653
nice,6,2.670024767,6.529411765,2.757747149
beautiful,6.87654321,2.495120277,7.229109275,2.494256366
felt,6.976586889,2.320619089,7.683673469,2.473405104
story,5.791015625,1.811099248,6.380816327,2.293508096
hair,6.19047619,2.685498978,6.532258065,3.351456111
girl,4.905,1.242440298,5.410150892,1.513243075
run,6.706049149,3.879256138,5.869377163,2.319890324
which,6.712121212,2.586111654,7.734375,2.669977573
hat,4.585069444,1.158500742,5.353888889,2.106010753
own,6.318668252,2.029731765,6.995117188,2.884146886
rabbit,5.577222222,2.184754225,6.459417274,2.347036977
looks,5.861328125,2.178624528,6.120816327,2.027341155
under,6.356111111,2.637020855,6.861111111,3.516514328
light,5.037037037,1.628625694,5.346191406,1.734368685
ask,5.308128544,1.565404745,6.348372781,1.579943888
black,5.452653486,2.19251215,6.041992188,2.559370746
special,5.775482094,1.621099076,6.817263545,1.740141536
face,4.635802469,1.184844722,5.2776,1.233508816
high,5.237456747,1.806233499,5.933641975,1.86013689
life,8.388888889,4.649924179,7.631055363,3.750247917
hear,4.9375,1.431876999,5.382877527,1.806366608
outside,5.460219479,1.843790887,5.979785969,1.716386943
stay,5.328824142,1.308677762,5.887543253,1.629288376
top,5.648148148,1.86472732,5.878787879,1.837246169
someone,6.583545918,2.490126258,7,3.683941988
dear,6.703703704,3.267730509,6.752441406,3.47825028
turn,6.696149844,3.26033961,6.868979592,2.698404414
read,5.7024,2.121707803,6.091796875,2.182568426
also,8.431588613,3.599714944,9.166666667,4.046162203
everything,6.269795918,2.097957537,6.920138889,2.237894574
bunny,7.175858481,2.967856925,7.449387755,3.360508491
mouse,6.109375,2.213355266,6.591435185,2.528602637
along,6.924168975,2.505645035,8.167590028,2.719143596
enough,7.984848485,2.731428337,8.941176471,2.754513392
different,6.056711759,2.059262767,7.10546875,2.248904163
end,6.275887574,2.491779041,6.371107266,2.955216176
fast,4.975206612,1.59154145,5.338888889,2.115208265
brown,5.931034483,2.165987641,6.370967742,2.280232963
dark,4.756242568,1.184447481,5.400713436,1.242530384
nothing,6.139648438,2.368847272,7.009182736,2.572973483
sweet,4.700274348,1.345691355,5.541015625,1.46511943
cold,5.412604043,1.711250673,5.953627181,1.867896474
idea,6.888571429,2.657262128,7.930555556,2.997982126
full,5.953125,3.066919504,5.765625,1.966388433
food,8.157894737,4.582735208,7.9,4.811011675
kids,5.961538462,2.049014773,6.133149679,1.953123593
air,5.082304527,1.24601648,5.5234375,1.310794783
moon,5.167657551,1.188725779,5.625,1.325920253
sad,4.716446125,0.863428899,4.883379247,1.008931112
far,6.919354839,2.549826054,7.377929688,2.345427617
mommy,7.7,6.676451153,4.791015625,1.25782544
grandma,6.65625,3.672958617,6.279513889,3.304323017
show,6.562885802,2.103923348,6.979224377,2.18117201
four,5.496598639,2.381527142,6.536,2.267318534
set,5.752777778,1.933581451,6.169921875,1.652068624
sit,5.404761905,2.003865312,5.187871581,1.329945961
sorry,5.0625,1.536025716,5.510380623,1.303957735
may,6.575195313,3.050563673,7.448961938,3.289015249
daddy,7.5625,4.150803135,6.846354167,2.982055661
use,5.958007813,1.744688067,6.715120526,2.055499181
fish,4.98964497,1.346112425,5.406347555,1.491503392
pig,6.886363636,2.975822488,6.856111111,3.43994031
warm,6.152832031,1.81085565,6.624489796,2.040653955
hand,4.913043478,1.124643114,5.17169615,1.507649292
father,5.143598616,1.546877168,5.5224,1.794680287
without,7.021990741,3.379846404,8.023788927,3.274447124
same,5.8,2.111592652,6.891975309,2.594457002
such,6.771731191,2.496247049,7.335963182,2.401814579
across,7.3125,3.680265594,7.655510204,3.064741149
fluffy,7.597222222,2.742639342,8.040224913,3.332940057
whole,7.218858131,2.218448358,7.632578524,3.08564779
care,6.033333333,2.216448438,6.004897959,2.05818701
walk,4.715419501,1.454301544,5.244855967,1.968547754
bright,7.357142857,2.908662486,7.215102041,2.776794474
egg,4.788888889,2.198905452,4.690828402,1.074639379
start,5.946428571,1.892183168,6.508789063,1.796526253
nose,4.464444444,1.902982899,4.488520408,0.998903574
gold,6.526629936,2.612291129,6.965397924,2.46376137
behind,5.662330905,2.001802585,6.084022039,1.666085862
wish,5.265943878,1.707488587,6.038567493,1.996287917
sound,5.818047337,2.669919168,5.945215486,2.168987786
himself,7.120293848,3.19419926,7.314814815,2.924588637
bird,7.326086957,4.193091438,7.678571429,4.659149274
open,6.498216409,3.198497744,7.083333333,3.034523576
remember,6.009515571,2.045702019,6.818367347,2.314377972
deep,5.577142857,1.367497868,6.475694444,1.585599099
quite,6.05648038,1.724869897,7,2.414150989
box,6.645833333,4.017567852,6.586206897,3.59083398
grow,6.273673257,1.430761132,6.420014609,1.659646704
suddenly,7.337837838,1.867314077,8,2.174794181
smile,5.154958678,1.449779739,5.872008325,1.565175205
job,8.9375,4.144078558,9.544117647,4.57987635
catch,7.102853746,3.616313573,8.466666667,4.419653078
anything,8.125,3.718385253,8.132352941,3.966352464
side,6.008323424,2.360812926,6.193287037,2.772905201
lot,5.956666667,2.399092261,6.055363322,2.151757425
hot,5.255102041,1.740949106,5.231272295,1.908145916
leprechaun,8.235294118,3.540320338,9.160899654,3.566856003
hello,5.412326389,2.018632815,5.779916753,1.871095418
five,6.1328125,3.09487175,6.332986472,3.147802994
perfect,7.310613944,2.522596347,7.797577855,2.831750183
color,4.6768,0.921767867,5.471111111,1.401879782
voice,6.684897959,3.017233301,6.705017301,2.719415947
monster,5.853535354,2.05596928,7.097222222,2.800049603
bit,7.036651235,2.686227761,7.495844875,2.101183158
jack,6.943359375,2.188183037,7.241782323,2.607605842
coming,5.023413111,1.643008494,5.900816327,1.73996848
tail,5.502601457,1.607264859,6.345155709,2.602389075
tiny,7.228650138,2.789893879,7.708333333,3.087706037
later,6.843912591,3.333020417,7.541322314,3.498106107
alone,5.822580645,1.873269811,6.122685185,1.626813532
live,6.241935484,2.373011335,6.74783737,2.178361094
ground,6.248046875,2.147560763,7.037197232,2.263163686
fell,5.6566077,1.257079802,6.27594123,1.781212524
yellow,4.57231405,1.546641961,4.590561224,1.185554594
both,5.652832031,1.819740709,6.304783951,1.781883727
leave,6.313735692,2.355670198,6.976124885,2.257115033
instead,7.521604938,2.771334679,8.219723183,2.431360711
sister,5.043367347,1.583299234,5.938581315,2.210768417
teacher,5.09375,1.411002275,5.651515152,1.476296297
super,5.416522491,1.56465931,6.069444444,1.852229459
few,6.8984375,3.172372786,7.179783951,2.787318822
party,6.494444444,3.136878446,6.893340271,2.530544168
call,5.797668038,2.091028371,6.804444444,2.702939132
duck,5.757015306,2.821120217,6.479591837,3.297990475
town,6.431152344,2.806596232,7.124897959,2.890613494
front,6.03,2.087590593,6.449074074,1.915193821
doing,6.333333333,1.931105038,6.612880886,2.181616035
feeling,6.253443526,1.986753339,6.73119065,1.994414284
winter,6.939643347,3.362913201,6.939357907,2.217333219
ice,5.009548611,1.504346299,5.338888889,1.522804514
fall,6,1.870828693,6.041781451,1.888108563
hope,6.277315297,2.220901637,6.803265306,2.377334162
lady,5.3475,2.247658138,5.032778356,1.229715639
rain,4.873799726,1.140656991,5.312283737,1.633603281
mean,5.956790123,1.779268428,6.333984375,1.790685562
round,5.617647059,1.758351602,6.128205128,1.830724435
wind,6.622473246,3.453101134,7.176903114,3.419865769
turkey,7.011230469,2.502418923,7.626530612,2.567462261
papa,4.796398892,1.046945244,5.461538462,1.377846704
strong,6.191608997,2.045072762,6.522853186,2.081821132
hold,6.426872771,3.063254549,6.790633609,3.005975871
hug,5.763888889,3.098198271,5.565429688,2.108990174
game,5.461425781,2.038128028,5.795524691,1.662175202
wonderful,6.901753104,2.711943004,7.926939058,3.25429942
almost,6.34119898,1.991154258,6.882352941,2.863190696
believe,7.042240588,3.016083488,7.955882353,3.241229768
paper,5.0728,1.093920777,5.401816609,1.531966537
share,6.935483871,3.076095836,6.56712963,2.216869794
car,6.75,4.375412069,5.032226563,2.158173732
lunch,4.566587396,1.418087346,5.185555556,1.404356477
window,6.00780437,2.168383765,6.765138408,2.462597652
tall,5.903846154,1.979996115,5.898022893,1.683541285
course,8.283783784,3.922053991,8.837837838,3.876664614
llama,9.833333333,3.832194448,10.21621622,3.6790332
scared,5.671819263,1.610533651,5.8815427,1.649291553
floor,5.548751486,1.768800039,6.039591837,1.354517964
pretty,5.483930211,1.720389075,5.727508651,1.362196292
loud,6.821111111,2.722398696,7.526367188,2.999171481
pot,6.535918367,2.382663907,7.160701242,2.418064808
dinner,5.145659929,1.643396289,5.859001041,2.083835046
cool,5.938888889,1.951266085,5.935510204,1.963867401
class,6.48,2.51990695,6.80859375,2.255534049
hungry,5.654064272,1.715563057,6.305555556,1.837291096
quiet,5.3336,1.615979785,5.268135904,1.254191119
mind,6.977407848,3.412707892,7.16758494,3.456671203
frog,5.935546875,2.41838735,6.730486685,2.628192224
table,5.185871056,1.14499016,5.582040816,1.582555499
rest,6.172413793,1.891125242,6.779411765,1.838935695
ball,8.029411765,4.522411512,7.317307692,3.691583463
watch,5.998810939,2.645526313,6.517447199,2.632319917
pink,5.047831633,1.826259632,5.58984375,2.007542324
birthday,5.04,1.20978467,5.414141414,1.632525955
grandpa,5.071111111,1.889732771,5.288,1.889294401
close,5.670898438,1.792853308,6.407439446,1.875459223
king,6.432244898,2.410795904,7.351351351,3.122198444
part,6.290322581,2.682580206,6.764273356,2.339456921
garden,7.729448491,3.535503762,8.092285156,3.356182512
wear,6.727110583,2.951076324,6.872404844,3.29242763
bring,6.093888889,1.894509527,6.271836735,2.282788268
giant,7.016129032,2.761291579,7.035918367,2.730659088
yet,7.808823529,3.111597821,8.097750865,2.723521525
though,7.282051282,3.392706713,8.2115625,2.864117346
six,6.014030612,2.356743779,5.790633609,1.714011822
earth,6.608410494,2.725483589,7.038125,2.029012229
candy,6.2856,2.45900061,6.473985432,2.335888834
sea,7.518518519,4.39510541,8.0625,4.650268809
squirrel,6.8984375,2.799668309,7.361632653,2.424474477
pick,7.163371488,3.33287304,7.465820313,3.271092278
else,6.303030303,2.011449236,6.743243243,2.373527677
asleep,6.235351563,2.04789219,6.616734694,2.040850768
sing,4.925,1.656526169,5.486686391,1.432048324
stick,5.649305556,1.478913617,6.263376932,2.116223904
worry,7.242424242,2.654951777,7.562885802,2.472287956
talk,6.2264,2.324275658,6.238888889,2.470005248
safe,5.4578564,1.573026832,6.249511719,1.560525387
wrong,5.231666667,2.028609314,6.154844291,1.957770306
dance,5.338709677,1.938156757,6.121621622,1.800483752
thanksgiving,5.672176309,1.704498392,7.014705882,2.324068057
real,5.923875433,2.156516756,6.721453287,2.562035553
dream,6.506487889,2.434270646,7.528571429,2.799534775
important,7.14,2.545029758,7.655470914,2.828416959
team,6.776734694,2.766609962,7.373265157,2.632512654
forest,6.860041623,2.406025601,7.19212963,2.455865949
music,4.989892985,1.392452151,5.771808999,1.754748654
brave,7.308823529,2.796141026,7.76990504,2.416903816
rock,6.38941736,2.705690317,7.139160156,3.131966427
tooth,5.581360947,2.580361126,6.034482759,2.485425497
past,7.036651235,2.621633545,7.57633309,2.787071327
thanks,4.427514793,1.263615875,5.048828125,1.303152619
number,5.252362949,1.60513626,5.516646849,1.970542161
follow,5.996107266,2.197689208,6.766975309,2.789303689
magic,6.81450654,2.530293173,7.039591837,2.518133719
pet,4.87037037,1.411440839,5.64516129,1.628872557
quickly,7.310835629,2.57758436,8.319444444,3.77426015
cake,4.604938272,0.921470763,4.608367627,1.085114975
guess,6.177226814,2.010402116,6.483265306,2.062680705
arms,4.7632,1.60313942,5.497070313,2.629943973
spring,7.757575758,2.646109208,8.047783934,2.874693673
brother,4.820247934,1.296354383,5.224732461,1.491678141
star,4.6171875,0.847453126,5.006920415,1.148829905
hide,6.493944637,2.344143305,6.787070855,2.283793569
busy,7.007805326,2.772996658,6.892746914,2.223929431
gingerbread,6.773469388,2.576528889,7.607638889,2.615740946
surprise,6.916666667,2.799234589,7.717142857,2.725855043
pie,5.958161866,2.982899419,6.325702393,2.555449651
poor,6.107421875,1.937092463,6.834490741,2.280448432
stand,5.688466112,2.217234154,6.641414141,2.796364583
fox,5.689453125,2.054280688,5.910204082,2.476864308
monkey,5,1.471960144,5.783333333,1.77474298
learn,5.277681661,1.596141134,5.807098765,1.503932887
free,6.586734694,2.912126829,6.404081633,2.746379416
clean,6.396449704,2.844755774,7.139714625,3.537999406
park,5.265306122,1.571892325,6.370967742,1.966247449
ride,5.846938776,1.954481476,6.33757716,2.527413238
wide,7.35399449,3.481332256,8.023265306,3.280198303
afraid,6.169441141,1.871674442,6.8,2.482882575
young,6.773877551,2.18765083,6.943905817,2.025229439
matter,8,3.483293461,7.484429066,2.523902566
myself,6.015625,2.727754018,6.625,3.405403676
slowly,6.294378698,2.79409653,6.53902663,2.730227856
pumpkin,6.767089844,2.873776254,7.478373702,2.863321696
river,5.719381688,1.923426342,6.224444444,1.861506277
born,5.814941406,1.458127496,6.625306122,2.065822857
dinosaur,6.402483565,1.977624036,7.650625,2.155004889
groundhog,7.9,2.78071087,8.793595679,2.633417789
tired,7.183333333,3.933681555,7.260330579,3.18007811
listen,6.420395421,2.530390845,6.837959184,2.567754011
jump,5.788461538,2.182535576,6.057128906,2.049809017
silly,5.888408304,2.116341069,6.352941176,1.92483534
excited,8.152777778,3.621009024,7.824324324,3.225799247
fine,7.686111111,4.042025599,8.882352941,4.778516987
woman,6.094674556,2.852928129,6.169795918,2.58637294
early,5.910644531,1.994057903,6.277681661,1.895552971
funny,5.614325069,1.418549687,6.239956172,1.701818868
ruby,8.484375,3.637804139,8.448529412,3.39996625
mouth,5.844618056,2.326537879,6.186111111,2.433963402
angry,4.679012346,1.12273126,5.51171875,1.219841581
meet,6.384277344,3.062044432,6.890138408,2.972906464
mine,5.905273438,2.013519615,6.205246914,2.235735478
bus,4.982758621,1.660909597,5.588969823,1.79416845
wolf,5.995,2.565498876,6.494377163,3.173490082
child,6.009512485,2.184143145,6.538062284,2.724953423
honey,6.024414063,2.279301869,6.440312213,2.542840411
everybody,6.366699219,2.305227723,7.308080808,2.828771208
smell,5.435483871,1.590293136,5.785714286,1.677207563
times,6.183265306,2.232751643,6.76953981,2.197129378
fairy,6.005859375,1.892549549,7.073529412,2.049140074
city,6.650596878,2.742730132,7.434256055,2.972974799
witch,7.529411765,3.859151219,8.114285714,3.813840342
tomorrow,7.264705882,3.788409945,7.214285714,3.326112627
late,6.04578564,1.66943975,7.023415978,2.141890856
anyone,6.163194444,2.052398302,7.11577794,1.830183397
space,6.706790123,2.911347716,6.85734072,2.552067891
race,7.242455775,2.502958651,7.421296296,2.975158022
luck,6.533950617,2.188968566,7.25,2.755216183
toy,5.538461538,2.183856856,5.605263158,2.220979185
move,6.408442331,3.52225478,6.980536332,3.52953565
dragon,7.185714286,3.650313674,7.563271605,3.241129606
everywhere,6.382352941,1.887192975,7.382352941,1.895204569
change,6.545454545,3.204887957,6.56404321,2.753935932
fire,5.0656,1.204194336,5.345588235,1.70562206
wonder,8.252595156,3.229488533,8.351851852,2.930078762
means,6.763888889,2.322209881,7.234764543,2.364334879
chair,5.057692308,1.134256788,5.474288338,1.15921769
uncle,5.230902778,1.871463217,5.582040816,2.007008557
seven,6.634615385,3.897583078,6.237024221,3.501740465
breakfast,4.812130178,1.319419225,5.534602076,1.985945567
grass,5.193239796,2.046886714,5.842351717,2.332683038
street,6.212653061,2.186949098,7.248961219,2.590819448
farmer,5.863321799,1.266432978,6.571799308,1.314460735
goat,6.34083045,2.854535983,7.028571429,3.516647085
breath,5.906347555,2.590556971,7,3.64940842
quick,6.428222656,2.935469387,7.142313019,3.168240898
plan,7.235726644,3.196236624,7.836805556,3.126188266
second,5.788461538,1.709813305,6.133608815,1.436946956
proud,6.222222222,1.931670056,7.172839506,2.224355237
forget,6.291666667,2.519129709,6.116161616,2.207344452
eight,5.606995885,2.253989074,6.612903226,3.237050297
cry,4.642857143,1.231455852,5.380952381,1.439659351
laugh,6.5,3.741657387,6.6328125,2.464043339
win,5.66,1.772004515,6.189655172,2.156442975
seed,6.36,2.293366393,6.921052632,1.734102758
land,5.956004756,2.131767425,6.338842975,2.203874397
problem,7.679981635,2.922830847,8.386678201,2.997903328
fact,5.944444444,1.930128707,6.618441358,1.859835757
soft,4.85,1.308876577,5.123067776,1.629904654
song,5.318668252,2.01205926,5.768135904,2.171087369
strange,7.941736029,2.961043903,8.190743945,3.494577964
goodbye,5.607638889,1.911773711,6.282996433,1.850937796
straight,8.5,4.360748678,9.357142857,4.32430108
yourself,6.661764706,2.295319969,7.082561728,1.623287812
gift,5.706555671,1.681665528,6.095918367,1.565203757
